"Game","Date","Opponent","Score","Location","Attendance","Record","Points"
"62","March 2","Philadelphia Flyers","7 – 2","St. Pete Times Forum","17,812","26–25–11","63"
"63","March 4","Washington Capitals","5 – 4","Verizon Center","18,277","26–26–11","63"
"64","March 6","Atlanta Thrashers","6 – 2","St. Pete Times Forum","19,926","27–26–11","65"
"65","March 9","Montreal Canadiens","5 – 3","Bell Centre","21,273","27–27–11","65"
"66","March 11","Toronto Maple Leafs","4 – 3 (OT)","Air Canada Centre","19,110","27–27–12","66"
"67","March 12","Washington Capitals","3 – 2","Verizon Center","18,277","28–27–12","68"
"68","March 14","Pittsburgh Penguins","2 – 1","St. Pete Times Forum","20,230","28–28–12","68"
"69","March 16","Phoenix Coyotes","2 – 1","St. Pete Times Forum","14,517","28–29–12","68"
"70","March 18","Buffalo Sabres","6 – 2","St. Pete Times Forum","16,868","28–30–12","68"
"71","March 20","Washington Capitals","3 – 1","St. Pete Times Forum","19,844","28–31–12","68"
"72","March 21","Florida Panthers","5 – 2","BankAtlantic Center","14,831","28–32–12","68"
"73","March 23","Carolina Hurricanes","3 – 2 (OT)","St. Pete Times Forum","13,009","29–32–12","70"
"74","March 25","Boston Bruins","5 – 3","TD Garden","17,565","30–32–12","72"
"75","March 27","Buffalo Sabres","7 – 1","HSBC Arena","18,690","30–33–12","72"
"76","March 30","Columbus Blue Jackets","3 – 2","Nationwide Arena","15,760","30–34–12","72"
"77","March 31","Pittsburgh Penguins","2 – 0","Mellon Arena","17,132","31–34–12","74"
